timestamp,discrete_visit_planningarea,hyperUnique_unique_agents,longSum_total_records,discrete_visit_planningregion,discrete_visit_subzone
2018-01-03T00:00:00.000+08:00,CR,28697,172306,MU,MUSZ02
2018-01-03T00:00:00.000+08:00,CR,25105,239541,MU,MUSZ03
2018-01-03T00:00:00.000+08:00,CR,34349,330350,NT,NTSZ01
2018-01-03T00:00:00.000+08:00,CR,7912,65796,NT,NTSZ02
2018-01-03T00:00:00.000+08:00,CR,35361,200520,NT,NTSZ03
2018-01-03T00:00:00.000+08:00,CR,35401,552964,NT,NTSZ04
2018-01-03T00:00:00.000+08:00,CR,10724,16681,NT,NTSZ05
2018-01-03T00:00:00.000+08:00,CR,11522,89132,NT,NTSZ06
2018-01-03T00:00:00.000+08:00,CR,140327,1774814,NV,NVSZ01
2018-01-03T00:00:00.000+08:00,CR,115799,1271720,NV,NVSZ02
2018-01-03T00:00:00.000+08:00,CR,41791,351798,NV,NVSZ03
2018-01-03T00:00:00.000+08:00,CR,61752,213671,NV,NVSZ04
2018-01-03T00:00:00.000+08:00,CR,8020,52909,NV,NVSZ05
2018-01-03T00:00:00.000+08:00,CR,29778,441802,OR,ORSZ01
2018-01-03T00:00:00.000+08:00,CR,108675,1517636,OR,ORSZ02
2018-01-03T00:00:00.000+08:00,CR,110391,1315479,OR,ORSZ03
2018-01-03T00:00:00.000+08:00,CR,75076,802413,OT,OTSZ01
2018-01-03T00:00:00.000+08:00,CR,62528,122345,OT,OTSZ02
2018-01-03T00:00:00.000+08:00,CR,83921,859858,OT,OTSZ03
2018-01-03T00:00:00.000+08:00,CR,44319,325119,OT,OTSZ04
2018-01-03T00:00:00.000+08:00,CR,37872,366426,QT,QTSZ01
2018-01-03T00:00:00.000+08:00,CR,25983,359794,QT,QTSZ02
2018-01-03T00:00:00.000+08:00,CR,11799,155828,QT,QTSZ03
2018-01-03T00:00:00.000+08:00,CR,48429,352993,QT,QTSZ04
2018-01-03T00:00:00.000+08:00,CR,37248,542692,QT,QTSZ05
2018-01-03T00:00:00.000+08:00,CR,71399,844871,QT,QTSZ06
2018-01-03T00:00:00.000+08:00,CR,9987,84548,QT,QTSZ07
2018-01-03T00:00:00.000+08:00,CR,63661,876151,QT,QTSZ08
2018-01-03T00:00:00.000+08:00,CR,47889,389317,QT,QTSZ09
2018-01-03T00:00:00.000+08:00,CR,67767,512382,QT,QTSZ10
2018-01-03T00:00:00.000+08:00,CR,64769,855376,QT,QTSZ11
2018-01-03T00:00:00.000+08:00,CR,35456,284174,QT,QTSZ12
2018-01-03T00:00:00.000+08:00,CR,22189,335540,QT,QTSZ13
2018-01-03T00:00:00.000+08:00,CR,53457,816950,QT,QTSZ14
2018-01-03T00:00:00.000+08:00,CR,50256,846680,QT,QTSZ15
2018-01-03T00:00:00.000+08:00,CR,88837,638666,RC,RCSZ01
2018-01-03T00:00:00.000+08:00,CR,60165,474620,RC,RCSZ02
2018-01-03T00:00:00.000+08:00,CR,64846,389966,RC,RCSZ03
2018-01-03T00:00:00.000+08:00,CR,29519,159299,RC,RCSZ05
